idx,file,branch_id,branch_name,cache_id,cache_name,size_tier,SIZE,N,predictor_stress_type,expected_dominant_miss_type,kind
1,0001_grid_b01_always_taken__c01_sequential_unit_stride.c,b01,always_taken,c01,sequential_unit_stride,small_L1,4096,1000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
2,0002_grid_b01_always_taken__c02_sequential_wraparound_large.c,b01,always_taken,c02,sequential_wraparound_large,medium_L2,65536,3000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
3,0003_grid_b01_always_taken__c03_fixed_stride_small.c,b01,always_taken,c03,fixed_stride_small,large_L3,1048576,5000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
4,0004_grid_b01_always_taken__c04_fixed_stride_large.c,b01,always_taken,c04,fixed_stride_large,xlarge_DRAM,8388608,8000000,static/trivial,compulsory+streaming (prefetch-friendly),grid
5,0005_grid_b01_always_taken__c05_random_small_working_set.c,b01,always_taken,c05,random_small_working_set,small_L1,4096,1000000,static/trivial,temporal reuse (capacity-sensitive),grid
6,0006_grid_b01_always_taken__c06_random_full_working_set.c,b01,always_taken,c06,random_full_working_set,medium_L2,65536,3000000,static/trivial,capacity (uniform random),grid
7,0007_grid_b01_always_taken__c07_matrix_row_major.c,b01,always_taken,c07,matrix_row_major,large_L3,1048576,5000000,static/trivial,mixed spatial (traversal-order dependent),grid
8,0008_grid_b01_always_taken__c08_matrix_col_major.c,b01,always_taken,c08,matrix_col_major,xlarge_DRAM,8388608,8000000,static/trivial,mixed spatial (traversal-order dependent),grid
9,0009_grid_b01_always_taken__c09_matrix_tiled_blocked.c,b01,always_taken,c09,matrix_tiled_blocked,small_L1,4096,1000000,static/trivial,mixed spatial (traversal-order dependent),grid
10,0010_grid_b01_always_taken__c10_pointer_chase_linked_list.c,b01,always_taken,c10,pointer_chase_linked_list,medium_L2,65536,3000000,static/trivial,"compulsory+latency-bound (dependent loads, no prefetch)",grid
11,0011_grid_b01_always_taken__c11_sliding_window.c,b01,always_taken,c11,sliding_window,large_L3,1048576,5000000,static/trivial,mixed/unclassified,grid
