run_dir,program,backend,cpu_type,bp_type_raw,l1d_size,l1i_size,l2_size,n_override,stats_available,instructions_total,cycles_total,branches_total,branch_misses_total,dcache_accesses,dcache_misses,icache_accesses,icache_misses,l2_accesses,l2_misses,sim_seconds,observed_ipc,observed_cpi,observed_branch_miss_rate,observed_cache_miss_rate,observed_icache_miss_rate,unmatched_metrics
001_b01_always_taken__c01_sequential_unit_stride,001_b01_always_taken__c01_sequential_unit_stride,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,366496.0,463379.0,0.0,0.0,120793.0,1358.0,463305.0,454.0,1813.0,1763.0,0.000232,0.7909,1.2643,0.0,0.011242,0.00098,branches_total;branch_misses_total
002_b01_always_taken__c02_sequential_wraparound_large,002_b01_always_taken__c02_sequential_wraparound_large,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,366750.0,463665.0,0.0,0.0,120892.0,1350.0,463591.0,454.0,1805.0,1754.0,0.000232,0.791,1.2643,0.0,0.011167,0.000979,branches_total;branch_misses_total
003_b01_always_taken__c03_fixed_stride_small,003_b01_always_taken__c03_fixed_stride_small,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,370292.0,467147.0,0.0,0.0,120728.0,1358.0,467073.0,475.0,1834.0,1783.0,0.000234,0.7927,1.2616,0.0,0.011248,0.001017,branches_total;branch_misses_total
004_b01_always_taken__c04_fixed_stride_large,004_b01_always_taken__c04_fixed_stride_large,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,370293.0,433149.0,0.0,0.0,120728.0,1358.0,433075.0,468.0,1827.0,1777.0,0.000217,0.8549,1.1697,0.0,0.011248,0.001081,branches_total;branch_misses_total
005_b01_always_taken__c05_random_small_working_set,005_b01_always_taken__c05_random_small_working_set,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,414586.0,541196.0,0.0,0.0,120822.0,1357.0,541122.0,464.0,1822.0,1771.0,0.000271,0.7661,1.3054,0.0,0.011231,0.000857,branches_total;branch_misses_total
006_b01_always_taken__c06_random_full_working_set,006_b01_always_taken__c06_random_full_working_set,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,414524.0,541126.0,0.0,0.0,120819.0,1353.0,541052.0,464.0,1818.0,1767.0,0.000271,0.766,1.3054,0.0,0.011199,0.000858,branches_total;branch_misses_total
007_b01_always_taken__c07_matrix_row_major,007_b01_always_taken__c07_matrix_row_major,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,458503.0,615411.0,0.0,0.0,120681.0,1359.0,615337.0,476.0,1836.0,1785.0,0.000308,0.745,1.3422,0.0,0.011261,0.000774,branches_total;branch_misses_total
008_b01_always_taken__c08_matrix_col_major,008_b01_always_taken__c08_matrix_col_major,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,458503.0,561406.0,0.0,0.0,120681.0,1359.0,561332.0,476.0,1836.0,1785.0,0.000281,0.8167,1.2244,0.0,0.011261,0.000848,branches_total;branch_misses_total
009_b01_always_taken__c09_matrix_tiled_blocked,009_b01_always_taken__c09_matrix_tiled_blocked,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,702738.0,843680.0,0.0,0.0,120744.0,1348.0,843606.0,458.0,1807.0,1759.0,0.000422,0.8329,1.2006,0.0,0.011164,0.000543,branches_total;branch_misses_total
010_b01_always_taken__c10_pointer_chase_linked_list,010_b01_always_taken__c10_pointer_chase_linked_list,gem5,AtomicSimpleCPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,454397.0,557582.0,0.0,0.0,163402.0,2094.0,557508.0,463.0,2558.0,2026.0,0.000279,0.8149,1.2271,0.0,0.012815,0.00083,branches_total;branch_misses_total
