run_dir,program,backend,cpu_type,bp_type_raw,l1d_size,l1i_size,l2_size,n_override,stats_available,instructions_total,cycles_total,branches_total,branch_misses_total,dcache_accesses,dcache_misses,icache_accesses,icache_misses,l2_accesses,l2_misses,sim_seconds,observed_ipc,observed_cpi,observed_branch_miss_rate,observed_cache_miss_rate,observed_icache_miss_rate,unmatched_metrics,btb_lookups,btb_hits,btb_hit_ratio,btb_mispredicted,ras_correct,ras_incorrect,ras_pushes,ras_pops,indirect_lookups,indirect_hits,indirect_misses,squashes_total,corrected_total,committed_directcond,mispredicted_directcond,committed_return,mispredicted_return,committed_callindirect,mispredicted_callindirect,committed_indirectuncond,mispredicted_indirectuncond,dcache_readreq_accesses,dcache_readreq_misses,dcache_writereq_accesses,dcache_writereq_misses,dcache_avg_miss_latency,dcache_mshr_miss_rate,dcache_replacements,dcache_writebacks,icache_avg_miss_latency,icache_mshr_miss_rate,icache_replacements,l2_readshared_accesses,l2_readshared_misses,l2_avg_miss_latency,l2_mshr_miss_rate,l2_replacements,l2_writeback_dirty,dram_avg_mem_acc_lat,dram_bw_total,dram_page_hit_rate,dram_num_reads,idle_cycles,num_syscalls,fetch_num_insts,commit_num_ops,sim_ops,sim_ticks,host_seconds,host_inst_rate
0001_grid_b01_always_taken__c01_sequential_unit_stride,0001_grid_b01_always_taken__c01_sequential_unit_stride,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,366845.0,345832.0,64520.0,855.0,97002.0,12588.0,32953.0,796.0,1967.0,1900.0,0.000173,1.0608,0.9427,0.013252,0.129771,0.024156,,64520.0,42351.0,0.656401,640.0,2285.0,0.0,3386.0,3384.0,2526.0,2122.0,404.0,5512.0,1103.0,49402.0,545.0,2285.0,0.0,120.0,27.0,1967.0,111.0,41513.0,7882.0,55489.0,4706.0,66356.684223,0.014103,857.0,150.0,75343.590452,0.018147,204.0,954.0,915.0,76630.263158,0.965938,0.0,150.0,25553.03,703235694.0,87.16,1900.0,47248.0,32.0,393435.0,366919.0,366919.0,172915000.0,1.25,292556.0
0002_grid_b01_always_taken__c02_sequential_wraparound_large,0002_grid_b01_always_taken__c02_sequential_wraparound_large,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,367092.0,344972.0,64700.0,859.0,97161.0,12617.0,33092.0,796.0,1957.0,1889.0,0.000172,1.0641,0.9397,0.013277,0.129857,0.024054,,64700.0,42430.0,0.655796,642.0,2290.0,0.0,3405.0,3403.0,2533.0,2129.0,404.0,5616.0,1112.0,49463.0,548.0,2290.0,0.0,125.0,27.0,1967.0,112.0,41652.0,7903.0,55509.0,4714.0,66418.280178,0.013987,848.0,150.0,76869.972362,0.018041,204.0,944.0,905.0,77453.679195,0.965253,0.0,150.0,26377.18,700907325.0,87.14,1889.0,47133.0,32.0,394189.0,367166.0,367166.0,172485000.0,1.35,271887.0
0003_grid_b01_always_taken__c03_fixed_stride_small,0003_grid_b01_always_taken__c03_fixed_stride_small,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,370635.0,305534.0,64578.0,860.0,97055.0,12630.0,30195.0,798.0,1960.0,1896.0,0.000153,1.2131,0.8244,0.013317,0.130132,0.026428,,64578.0,42383.0,0.656307,643.0,2281.0,0.0,3440.0,3438.0,2533.0,2114.0,419.0,5635.0,1115.0,49350.0,548.0,2281.0,0.0,116.0,29.0,1966.0,110.0,41583.0,7917.0,55472.0,4713.0,66359.4962,0.014013,849.0,151.0,75295.111529,0.019838,204.0,944.0,905.0,76148.99789,0.967347,0.0,151.0,25046.81,794310271.0,86.81,1896.0,48198.0,32.0,397556.0,370709.0,370709.0,152766500.0,1.39,266493.0
0004_grid_b01_always_taken__c04_fixed_stride_large,0004_grid_b01_always_taken__c04_fixed_stride_large,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,370636.0,343332.0,64544.0,862.0,96955.0,12635.0,31184.0,786.0,1952.0,1890.0,0.000172,1.0795,0.9263,0.013355,0.130318,0.025205,,64544.0,42473.0,0.658047,638.0,2281.0,0.0,3391.0,3388.0,2501.0,2114.0,387.0,5601.0,1114.0,49351.0,554.0,2281.0,0.0,116.0,29.0,1966.0,109.0,41483.0,7930.0,55472.0,4705.0,66973.086031,0.014037,850.0,151.0,74496.818066,0.01892,199.0,945.0,905.0,76167.989418,0.968238,0.0,151.0,25258.2,704626148.0,86.77,1890.0,48110.0,32.0,397525.0,370710.0,370710.0,171665500.0,1.25,296023.0
0005_grid_b01_always_taken__c05_random_small_working_set,0005_grid_b01_always_taken__c05_random_small_working_set,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,414936.0,303165.0,64535.0,857.0,96855.0,12689.0,75946.0,812.0,1970.0,1908.0,0.000152,1.3687,0.7306,0.01328,0.13101,0.010692,,64535.0,42440.0,0.657628,642.0,2287.0,0.0,3373.0,3370.0,2523.0,2118.0,405.0,5503.0,1109.0,49424.0,553.0,2287.0,0.0,122.0,25.0,1965.0,109.0,41360.0,7979.0,55495.0,4710.0,66399.002207,0.014135,859.0,149.0,72865.14532,0.0079,209.0,954.0,916.0,75779.08805,0.968528,0.0,149.0,24663.26,805586434.0,87.58,1908.0,46659.0,32.0,441768.0,415010.0,415010.0,151581500.0,1.24,333400.0
0006_grid_b01_always_taken__c06_random_full_working_set,0006_grid_b01_always_taken__c06_random_full_working_set,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,414874.0,303575.0,64651.0,861.0,96912.0,12628.0,76000.0,813.0,1963.0,1901.0,0.000152,1.3666,0.7317,0.013318,0.130304,0.010697,,64651.0,42484.0,0.657128,649.0,2286.0,0.0,3393.0,3390.0,2535.0,2128.0,407.0,5636.0,1117.0,49410.0,557.0,2286.0,0.0,121.0,25.0,1965.0,109.0,41421.0,7920.0,55491.0,4708.0,66618.699636,0.014054,851.0,149.0,73344.400984,0.007895,209.0,947.0,909.0,76132.035771,0.968416,0.0,149.0,25015.91,801546910.0,87.32,1901.0,46880.0,32.0,442307.0,414948.0,414948.0,151786500.0,1.25,332307.0
0007_grid_b01_always_taken__c07_matrix_row_major,0007_grid_b01_always_taken__c07_matrix_row_major,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,458805.0,887380.0,65447.0,884.0,96938.0,12682.0,70140.0,807.0,1969.0,1907.0,0.000444,0.517,1.9341,0.013507,0.130826,0.011506,,65447.0,43301.0,0.661619,647.0,2278.0,0.0,3418.0,3414.0,2524.0,2110.0,414.0,6425.0,1147.0,49440.0,574.0,2278.0,0.0,114.0,28.0,1964.0,110.0,41481.0,7977.0,55457.0,4705.0,65853.054566,0.014122,858.0,149.0,76504.335812,0.00854,206.0,954.0,916.0,76491.87205,0.968512,0.0,149.0,25389.09,275075250.0,86.79,1907.0,48742.0,32.0,488157.0,458879.0,458879.0,443689500.0,2.04,225359.0
0008_grid_b01_always_taken__c08_matrix_col_major,0008_grid_b01_always_taken__c08_matrix_col_major,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,458805.0,886812.0,65436.0,884.0,96931.0,12680.0,74148.0,806.0,1969.0,1907.0,0.000443,0.5174,1.9329,0.013509,0.130815,0.01087,,65436.0,43310.0,0.661868,647.0,2278.0,0.0,3402.0,3398.0,2525.0,2111.0,414.0,6414.0,1143.0,49440.0,574.0,2278.0,0.0,114.0,28.0,1964.0,110.0,41474.0,7975.0,55457.0,4705.0,65893.252208,0.014123,858.0,149.0,75517.368486,0.008078,206.0,954.0,916.0,76164.394337,0.968512,0.0,149.0,25061.75,275251435.0,86.73,1907.0,48186.0,32.0,488065.0,458879.0,458879.0,443405500.0,2.31,198867.0
0009_grid_b01_always_taken__c09_matrix_tiled_blocked,0009_grid_b01_always_taken__c09_matrix_tiled_blocked,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,703025.0,886222.0,109560.0,874.0,96944.0,12628.0,77111.0,788.0,1955.0,1891.0,0.000443,0.7933,1.2606,0.007977,0.130261,0.010219,,109560.0,43276.0,0.394998,651.0,2282.0,0.0,3376.0,3374.0,2510.0,2110.0,400.0,6470.0,1134.0,93490.0,562.0,2282.0,0.0,118.0,28.0,1966.0,111.0,41473.0,7905.0,55471.0,4723.0,66017.733766,0.013998,846.0,143.0,74996.823604,0.007755,205.0,942.0,905.0,76715.494447,0.967263,0.0,143.0,25633.92,273124055.0,87.15,1891.0,47384.0,32.0,732727.0,703099.0,703099.0,443110000.0,2.41,291398.0
0010_grid_b01_always_taken__c10_pointer_chase_linked_list,0010_grid_b01_always_taken__c10_pointer_chase_linked_list,gem5,O3CPU,default (CPU model's built-in predictor; GEM5_BP_TYPE not set),32kB,32kB,256kB,20000,1,454733.0,397924.0,72970.0,861.0,139565.0,17242.0,34934.0,809.0,2602.0,2161.0,0.000199,1.1428,0.8751,0.011799,0.123541,0.023158,,72970.0,50595.0,0.693367,647.0,2293.0,0.0,3396.0,3394.0,2528.0,2121.0,407.0,5665.0,1110.0,57673.0,549.0,2293.0,0.0,123.0,27.0,1967.0,109.0,71757.0,8308.0,67808.0,8934.0,66106.973553,0.014388,1497.0,619.0,74813.347342,0.017032,201.0,1322.0,922.0,75770.93938,0.830515,0.0,619.0,24668.67,695129460.0,87.69,2161.0,47659.0,32.0,482510.0,454807.0,454807.0,198961500.0,1.54,295914.0
