filename,program,branch_pattern,cache_pattern,size_tier,predictor_stress_type,expected_dominant_miss_type,backend,compiler,arch,SIZE,N,SEED,warmup_iterations,taken,nottaken,sink,validation,reps,roi_elapsed_seconds_mean,roi_elapsed_seconds_median,roi_elapsed_seconds_stddev,perf_available,instructions_total,cycles_total,branches_total,branch_misses_total,cache_references_total,cache_misses_total,task_clock_ms,context_switches,cpu_migrations,page_faults,time_elapsed,observed_ipc,observed_cpi,observed_branch_miss_rate,observed_cache_miss_rate,observed_branch_density,observed_cache_refs_per_instruction,branches_to_N_ratio,plausible,instruction_count_source
001_b01_always_taken__c01_sequential_unit_stride,001_b01_always_taken__c01_sequential_unit_stride.c,always_taken,sequential_unit_stride,small_L1,static/trivial,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,4096,1000000,2654435769,100000,1000000,0,2136436781151712,PASS,1,0.00250394,0.00250394,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
002_b01_always_taken__c02_sequential_wraparound_large,002_b01_always_taken__c02_sequential_wraparound_large.c,always_taken,sequential_wraparound_large,medium_L2,static/trivial,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,65536,3000000,2654435769,200000,3000000,0,6418432961555936,PASS,1,0.005656843,0.005656843,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
003_b01_always_taken__c03_fixed_stride_small,003_b01_always_taken__c03_fixed_stride_small.c,always_taken,fixed_stride_small,large_L3,static/trivial,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,1048576,5000000,2654435769,200000,5000000,0,10753777502074240,PASS,1,0.010911081,0.010911081,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
004_b01_always_taken__c04_fixed_stride_large,004_b01_always_taken__c04_fixed_stride_large.c,always_taken,fixed_stride_large,xlarge_DRAM,static/trivial,compulsory+streaming (prefetch-friendly),qemu_user_mode,15.2.0,riscv64,8388608,8000000,2654435769,200000,8000000,0,17191583684697664,PASS,1,0.069024942,0.069024942,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
005_b01_always_taken__c05_random_small_working_set,005_b01_always_taken__c05_random_small_working_set.c,always_taken,random_small_working_set,small_L1,static/trivial,temporal reuse (capacity-sensitive),qemu_user_mode,15.2.0,riscv64,4096,1000000,2654435769,100000,1000000,0,2136432824084896,PASS,1,0.002210402,0.002210402,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
006_b01_always_taken__c06_random_full_working_set,006_b01_always_taken__c06_random_full_working_set.c,always_taken,random_full_working_set,medium_L2,static/trivial,capacity (uniform random),qemu_user_mode,15.2.0,riscv64,65536,3000000,2654435769,200000,3000000,0,6418603018123872,PASS,1,0.007413304,0.007413304,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
007_b01_always_taken__c07_matrix_row_major,007_b01_always_taken__c07_matrix_row_major.c,always_taken,matrix_row_major,large_L3,static/trivial,mixed spatial (traversal-order dependent),qemu_user_mode,15.2.0,riscv64,1048576,5000000,2654435769,200000,5000000,0,10734969022830560,PASS,1,0.042569557,0.042569557,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
008_b01_always_taken__c08_matrix_col_major,008_b01_always_taken__c08_matrix_col_major.c,always_taken,matrix_col_major,xlarge_DRAM,static/trivial,mixed spatial (traversal-order dependent),qemu_user_mode,15.2.0,riscv64,8388608,8000000,2654435769,200000,8000000,0,17175465057612096,PASS,1,0.077678409,0.077678409,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
009_b01_always_taken__c09_matrix_tiled_blocked,009_b01_always_taken__c09_matrix_tiled_blocked.c,always_taken,matrix_tiled_blocked,small_L1,static/trivial,mixed spatial (traversal-order dependent),qemu_user_mode,15.2.0,riscv64,4096,1000000,2654435769,100000,1000000,0,2136445142576096,PASS,1,0.008369147,0.008369147,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
010_b01_always_taken__c10_pointer_chase_linked_list,010_b01_always_taken__c10_pointer_chase_linked_list.c,always_taken,pointer_chase_linked_list,medium_L2,static/trivial,"compulsory+latency-bound (dependent loads, no prefetch)",qemu_user_mode,15.2.0,riscv64,65536,3000000,2654435769,200000,3000000,0,6417928313254807,PASS,1,0.015797396,0.015797396,0.0,0,,,,,,,,,,,,,,,,,,,0,qemu_guest_none
