filename,program,branch_pattern,cache_pattern,size_tier,predictor_stress_type,expected_dominant_miss_type,backend,compiler,arch,SIZE,N,SEED,warmup_iterations,taken,nottaken,sink,validation,reps,roi_elapsed_seconds_mean,roi_elapsed_seconds_median,roi_elapsed_seconds_stddev,perf_available,instructions_total,cycles_total,branches_total,branch_misses_total,cache_references_total,cache_misses_total,task_clock_ms,context_switches,cpu_migrations,page_faults,time_elapsed,observed_ipc,observed_cpi,observed_branch_miss_rate,observed_cache_miss_rate,observed_branch_density,observed_cache_refs_per_instruction,branches_to_N_ratio,plausible,instruction_count_source
001_b01_always_taken__c01_sequential_unit_stride.spike.txt,001_b01_always_taken__c01_sequential_unit_stride.c,always_taken,sequential_unit_stride,small_L1,static/trivial,compulsory+streaming (prefetch-friendly),spike,16.1.0,riscv64,4096,20000,2654435769,2000,20000,0,42770932402208,PASS,1,0.000260004,0.000260004,0.0,0,1527435,,,,,,0,0,0,0,0.0,,,,,,,,1,spike_exact_commit_log
002_b01_always_taken__c02_sequential_wraparound_large.spike.txt,002_b01_always_taken__c02_sequential_wraparound_large.c,always_taken,sequential_wraparound_large,medium_L2,static/trivial,compulsory+streaming (prefetch-friendly),spike,16.1.0,riscv64,4096,20000,2654435769,2000,20000,0,42770932402208,PASS,1,0.000260004,0.000260004,0.0,0,1527687,,,,,,0,0,0,0,0.0,,,,,,,,1,spike_exact_commit_log
003_b01_always_taken__c03_fixed_stride_small.spike.txt,003_b01_always_taken__c03_fixed_stride_small.c,always_taken,fixed_stride_small,large_L3,static/trivial,compulsory+streaming (prefetch-friendly),spike,16.1.0,riscv64,4096,20000,2654435769,2000,20000,0,43187102696976,PASS,1,0.000260006,0.000260006,0.0,0,1538609,,,,,,0,0,0,0,0.0,,,,,,,,1,spike_exact_commit_log
004_b01_always_taken__c04_fixed_stride_large.spike.txt,004_b01_always_taken__c04_fixed_stride_large.c,always_taken,fixed_stride_large,xlarge_DRAM,static/trivial,compulsory+streaming (prefetch-friendly),spike,16.1.0,riscv64,4096,20000,2654435769,2000,20000,0,41614083534320,PASS,1,0.000260006,0.000260006,0.0,0,1538673,,,,,,0,0,0,0,0.0,,,,,,,,1,spike_exact_commit_log
005_b01_always_taken__c05_random_small_working_set.spike.txt,005_b01_always_taken__c05_random_small_working_set.c,always_taken,random_small_working_set,small_L1,static/trivial,temporal reuse (capacity-sensitive),spike,16.1.0,riscv64,4096,20000,2654435769,2000,20000,0,42752798987072,PASS,1,0.000300007,0.000300007,0.0,0,1626703,,,,,,0,0,0,0,0.0,,,,,,,,1,spike_exact_commit_log
006_b01_always_taken__c06_random_full_working_set.spike.txt,006_b01_always_taken__c06_random_full_working_set.c,always_taken,random_full_working_set,medium_L2,static/trivial,capacity (uniform random),spike,16.1.0,riscv64,4096,20000,2654435769,2000,20000,0,42699708083936,PASS,1,0.000300007,0.000300007,0.0,0,1626505,,,,,,0,0,0,0,0.0,,,,,,,,1,spike_exact_commit_log
007_b01_always_taken__c07_matrix_row_major.spike.txt,007_b01_always_taken__c07_matrix_row_major.c,always_taken,matrix_row_major,large_L3,static/trivial,mixed spatial (traversal-order dependent),spike,16.1.0,riscv64,4096,20000,2654435769,2000,20000,0,42770932402208,PASS,1,0.000340004,0.000340004,0.0,0,1715883,,,,,,0,0,0,0,0.0,,,,,,,,1,spike_exact_commit_log
008_b01_always_taken__c08_matrix_col_major.spike.txt,008_b01_always_taken__c08_matrix_col_major.c,always_taken,matrix_col_major,xlarge_DRAM,static/trivial,mixed spatial (traversal-order dependent),spike,16.1.0,riscv64,4096,20000,2654435769,2000,20000,0,42717723577872,PASS,1,0.000340004,0.000340004,0.0,0,1715947,,,,,,0,0,0,0,0.0,,,,,,,,1,spike_exact_commit_log
009_b01_always_taken__c09_matrix_tiled_blocked.spike.txt,009_b01_always_taken__c09_matrix_tiled_blocked.c,always_taken,matrix_tiled_blocked,small_L1,static/trivial,mixed spatial (traversal-order dependent),spike,16.1.0,riscv64,4096,20000,2654435769,2000,20000,0,42792241457440,PASS,1,0.000600005,0.000600005,0.0,0,2287355,,,,,,0,0,0,0,0.0,,,,,,,,1,spike_exact_commit_log
010_b01_always_taken__c10_pointer_chase_linked_list.spike.txt,010_b01_always_taken__c10_pointer_chase_linked_list.c,always_taken,pointer_chase_linked_list,medium_L2,static/trivial,"compulsory+latency-bound (dependent loads, no prefetch)",spike,16.1.0,riscv64,4096,20000,2654435769,2000,20000,0,42810461332844,PASS,1,0.000300003,0.000300003,0.0,0,1774385,,,,,,0,0,0,0,0.0,,,,,,,,1,spike_exact_commit_log
