filename,program,branch_pattern,cache_pattern,size_tier,predictor_stress_type,expected_dominant_miss_type,backend,compiler,arch,SIZE,N,SEED,warmup_iterations,taken,nottaken,sink,validation,reps,roi_elapsed_seconds_mean,roi_elapsed_seconds_median,roi_elapsed_seconds_stddev,perf_available,instructions_total,cycles_total,branches_total,branch_misses_total,cache_references_total,cache_misses_total,task_clock_ms,context_switches,cpu_migrations,page_faults,time_elapsed,observed_ipc,observed_cpi,observed_branch_miss_rate,observed_cache_miss_rate,observed_branch_density,observed_cache_refs_per_instruction,branches_to_N_ratio,plausible
0001_grid_b01_always_taken__c01_sequential_unit_stride,0001_grid_b01_always_taken__c01_sequential_unit_stride.c,always_taken,sequential_unit_stride,small_L1,static/trivial,compulsory+streaming (prefetch-friendly),native_host,15.2.0,x86_64,4096,1000000,2654435769,100000,1000000,0,2136436781151712,PASS,5,0.000590243,0.00055145,7.5797e-05,1,15210824.6,3405401.8,1267344.2,6271.0,27129.4,9856.6,0,0.0,0.0,70.2,0.001342,4.48832,0.22388,0.004948,0.363435,0.083316,0.001783,1.26732,1
0002_grid_b01_always_taken__c02_sequential_wraparound_large,0002_grid_b01_always_taken__c02_sequential_wraparound_large.c,always_taken,sequential_wraparound_large,medium_L2,static/trivial,compulsory+streaming (prefetch-friendly),native_host,15.2.0,x86_64,65536,3000000,2654435769,200000,3000000,0,6418432961555936,PASS,5,0.001705935,0.001690466,3.3106e-05,1,39922020.4,8255987.6,3470971.4,6515.8,33503.0,14271.6,0,0.0,0.0,131.6,0.002656,4.83698,0.2068,0.001877,0.42657,0.086944,0.000839,1.157,1
0003_grid_b01_always_taken__c03_fixed_stride_small,0003_grid_b01_always_taken__c03_fixed_stride_small.c,always_taken,fixed_stride_small,large_L3,static/trivial,compulsory+streaming (prefetch-friendly),native_host,15.2.0,x86_64,1048576,5000000,2654435769,200000,5000000,0,10753777502074240,PASS,5,0.004987981,0.004976938,4.8891e-05,1,79086534.6,29289747.2,7174027.6,7064.8,2721711.0,114161.0,0,0.4,0.0,1091.4,0.008088,2.70018,0.37036,0.000985,0.041945,0.090711,0.034415,1.4348,1
0004_grid_b01_always_taken__c04_fixed_stride_large,0004_grid_b01_always_taken__c04_fixed_stride_large.c,always_taken,fixed_stride_large,xlarge_DRAM,static/trivial,compulsory+streaming (prefetch-friendly),native_host,15.2.0,x86_64,8388608,8000000,2654435769,200000,8000000,0,17191583684697664,PASS,5,0.062920421,0.063027318,0.000985013,1,192556685.4,247545190.6,22908873.8,9722.2,16632804.2,9679139.6,0,1.4,0.0,8259.6,0.082507,0.77792,1.28554,0.000424,0.581927,0.118972,0.086379,2.86362,1
0005_grid_b01_always_taken__c05_random_small_working_set,0005_grid_b01_always_taken__c05_random_small_working_set.c,always_taken,random_small_working_set,small_L1,static/trivial,temporal reuse (capacity-sensitive),native_host,15.2.0,x86_64,4096,1000000,2654435769,100000,1000000,0,2136432824084896,PASS,5,0.001212189,0.001211987,1.1479e-05,1,16365710.0,5934416.6,1275930.4,6527.2,29726.0,11546.4,0,0.0,0.0,70.8,0.001633,2.7579,0.3626,0.005116,0.386806,0.077962,0.001816,1.27594,1
0006_grid_b01_always_taken__c06_random_full_working_set,0006_grid_b01_always_taken__c06_random_full_working_set.c,always_taken,random_full_working_set,medium_L2,static/trivial,capacity (uniform random),native_host,15.2.0,x86_64,65536,3000000,2654435769,200000,3000000,0,6418603018123872,PASS,5,0.00366088,0.003662337,8.194e-06,1,43214924.4,16067569.4,3486465.8,6983.6,38997.6,17959.2,0,0.0,0.0,131.8,0.0048,2.6897,0.37182,0.002003,0.458161,0.080677,0.000902,1.16216,1
0007_grid_b01_always_taken__c07_matrix_row_major,0007_grid_b01_always_taken__c07_matrix_row_major.c,always_taken,matrix_row_major,large_L3,static/trivial,mixed spatial (traversal-order dependent),native_host,15.2.0,x86_64,1048576,5000000,2654435769,200000,5000000,0,10734969022830560,PASS,5,0.02668483,0.02666905,0.000116233,1,105501353.4,114260818.6,7208793.2,7508.4,452122.4,125276.6,0,0.2,0.0,1091.4,0.030428,0.92334,1.08302,0.001042,0.276957,0.068329,0.004285,1.44176,1
0008_grid_b01_always_taken__c08_matrix_col_major,0008_grid_b01_always_taken__c08_matrix_col_major.c,always_taken,matrix_col_major,xlarge_DRAM,static/trivial,mixed spatial (traversal-order dependent),native_host,15.2.0,x86_64,8388608,8000000,2654435769,200000,8000000,0,17175465057612096,PASS,5,0.059786548,0.05941116,0.000950601,1,233650777.4,301574782.2,22879943.0,10351.2,9035860.6,1442089.8,0,1.2,0.0,8259.2,0.080455,0.77486,1.29072,0.000452,0.159598,0.097924,0.038673,2.85998,1
0009_grid_b01_always_taken__c09_matrix_tiled_blocked,0009_grid_b01_always_taken__c09_matrix_tiled_blocked.c,always_taken,matrix_tiled_blocked,small_L1,static/trivial,mixed spatial (traversal-order dependent),native_host,15.2.0,x86_64,4096,1000000,2654435769,100000,1000000,0,2136445142576096,PASS,5,0.00435468,0.004349016,2.4243e-05,1,36175472.8,18889582.4,3475479.4,6836.8,30953.0,16126.4,0,0.0,0.0,70.6,0.005605,1.91512,0.52216,0.001967,0.519846,0.096073,0.000856,3.47548,1
0010_grid_b01_always_taken__c10_pointer_chase_linked_list,0010_grid_b01_always_taken__c10_pointer_chase_linked_list.c,always_taken,pointer_chase_linked_list,medium_L2,static/trivial,"compulsory+latency-bound (dependent loads, no prefetch)",native_host,15.2.0,x86_64,65536,3000000,2654435769,200000,3000000,0,6417928313254807,PASS,5,0.014861962,0.014911449,0.000137958,1,35261018.8,62706060.0,3675798.6,7863.8,82420.2,39783.6,0,0.0,0.0,196.4,0.017288,0.56238,1.77836,0.002139,0.484381,0.104245,0.002338,1.22528,1
